PB 1,OPEN,00
PB 1,SHORTED,01
PB 2,OPEN,02
PB 2,SHORTED,03
PB 3,OPEN,04
PB 3,SHORTED,05
PB 4,OPEN,06
PB 4,SHORTED,07
PB 5,OPEN,08
PB 5,SHORTED,09
PB 6,OPEN,0A
PB 6,SHORTED,0B
SW 1 A,OPEN,0C
SW 1 A,SHORTED,0D
SW 1 B,OPEN,0E
SW 1 B,SHORTED,0F
SW 2 A,OPEN,10
SW 2 A,SHORTED,11
SW 2 B,OPEN,12
SW 2 B,SHORTED,13
SW 3,OPEN,14
SW 3,SHORTED,15
SW 4,OPEN,16
SW 4,SHORTED,17
SW 5,OPEN,18
SW 5,SHORTED,19
SW 6,OPEN,1A
SW 6,SHORTED,1B
CR 1 A,OPEN,1C
CR 1 A,SHORTED,1D
CR 1 B,OPEN,1E
CR 1 B,SHORTED,1F
CR 1 C,OPEN,20
CR 1 C,SHORTED,21
CR 1 D,OPEN,22
CR 1 D,SHORTED,23
CR 2 A,OPEN,24
CR 2 A,SHORTED,25
CR 2 B,OPEN,26
CR 2 B,SHORTED,27
CR 2 C,OPEN,28
CR 2 C,SHORTED,29
CR 2 D,OPEN,2A
CR 2 D,SHORTED,2B
CR 3 A,OPEN,2C
CR 3 A,SHORTED,2D
CR 3 B,OPEN,2E
CR 3 B,SHORTED,2F
CR 3 C,OPEN,30
CR 3 C,SHORTED,31
CR 3 D,OPEN,32
CR 3 D,SHORTED,33
CR 4 A,OPEN,34
CR 4 A,SHORTED,35
CR 4 B,OPEN,36
CR 4 B,SHORTED,37
CR 4 C,OPEN,38
CR 4 C,SHORTED,39
CR 4 D,OPEN,3A
CR 4 D,SHORTED,3B
CR 1,OPEN,3C
CR 2,OPEN,3D
CR 3,OPEN,3E
CR 4,OPEN,3F
RED,OPEN,40
GREEN,OPEN,41
WHITE,OPEN,42
BLUE,OPEN,43
YELLOW,OPEN,44
